"iso3c","year","imports","exports","total_trade","trade_balance","imports.perc.gdp.pwt","imports.perc.gdp.gl","exports.perc.gdp.pwt","exports.perc.gdp.gl","total.trade.perc.gdp.pwt","total.trade.perc.gdp.gl","trade.balance.perc.gdp.pwt","trade.balance.perc.gdp.gl","imports.per.capita.un","imports.per.capita.cow","exports.per.capita.un","exports.per.capita.cow","total.trade.per.capita.un","total.trade.per.capita.cow","trade.balance.per.capita.un","trade.balance.per.capita.cow","trade.balance.perc.total.trade"
"SDN",2014,9726289593.49723,5293141855.61846,15019431449.1157,4433147737.87877,0.0546422975848479,0.0881092258693598,0.0297368723862479,0.0479499018440759,0.0843791699710958,0.136059127713436,0.0249054251986,0.0401593240252839,257.731983504617,NA,140.260264338822,NA,397.992247843439,NA,117.471719165795,NA,0.295160822358544
"IRN",1946,126461540.222168,79076919.5556641,205538459.777832,47384620.6665039,0.00138040860617531,0.00245971619725052,0.000863175160706581,0.00153807062224636,0.00224358376688189,0.00399778681949688,0.000517233445468733,0.000921645575004157,NA,8.20752467693198,NA,5.13219882889824,NA,13.3397235058302,NA,3.07532584803374,0.230538949828282
"IRN",1947,144923080.444336,71384613.0371094,216307693.481445,73538467.4072265,0.00158708851416977,0.0028279940499573,0.00078175056100305,0.00139298212754309,0.00236883907517282,0.00422097617750039,0.000805337953166718,0.00143501192241421,NA,9.28755962857831,NA,4.57476371681039,NA,13.8623233453887,NA,4.71279591176791,0.339971575784634
"IRN",1948,1.29e+08,5.8e+08,7.09e+08,-4.51e+08,0.00141732818633599,0.00252550229052077,0.00637248331840987,0.0113549715387755,0.00778981150474586,0.0138804738292963,-0.00495515513207388,-0.00882946924825478,NA,8.16352360460701,NA,36.7042146563726,NA,44.8677382609796,NA,-28.5406910517656,-0.636107193229901
"IRN",1949,167199996.948242,410640014.648438,577840011.59668,-243440017.700195,0.00184309402194566,0.00328416397764734,0.00452660388746599,0.00806584430923433,0.00636969790941165,0.0113500082868817,-0.00268350986552032,-0.00478168033158698,NA,10.3651352642888,NA,25.456575206028,NA,35.8217104703168,NA,-15.0914399417392,-0.421293113689938
"IRN",1950,167399993.896484,330480010.986328,497880004.882812,-163080017.089844,0.00185114603443472,0.00329851166097184,0.00365452081303889,0.00651190089427715,0.00550566684747362,0.00981041255524899,-0.00180337477860417,-0.0032133892333053,9.77860820704973,10.2850819548098,19.3048665801932,20.3047438551443,29.083474787243,30.5898258099541,-9.52625837314351,-10.0196619003345,-0.327548838054319
"IRN",1951,167600006.103516,250320007.324219,417920013.427734,-82720001.2207032,0.00185961243075553,0.00331359772467027,0.00277743544352513,0.00494904401254421,0.00463704787428066,0.00826264173721449,-0.000917823012769601,-0.00163544628787394,9.56784872429729,10.0557992502259,14.2901185890403,15.0189000614519,23.8579673133376,25.0746993116778,-4.722269864743,-4.96310081122597,-0.197932615244345
"IRN",1952,167800003.051758,170160003.662109,337960006.713867,-2360000.61035159,0.00186842247326793,0.00332929612307874,0.00189470065024714,0.00337612056133625,0.00376312312351507,0.00670541668441499,-2.62781769792152e-05,-4.68244382575099e-05,9.35705141648122,9.83183940070064,9.48865240964197,9.97011798570981,18.8457038261232,19.8019573864105,-0.131600993160742,-0.138278585009175,-0.00698307658737171
"IRN",1953,1.68e+08,9e+07,2.58e+08,7.8e+07,0.00187403663154577,0.00333929985384958,0.00100394819547095,0.00178891063599085,0.00287798482701671,0.00512821048984042,0.00087008843607482,0.00155038921785873,9.145843540748,9.61318379491875,4.89955903968643,5.14991989013504,14.0454025804344,14.7631036850538,4.24628450106157,4.4632639047837,0.302325581395349
"IRN",1954,247399993.896484,2.19e+08,466399993.896484,28399993.8964844,0.00276818754938841,0.0049325654170785,0.00245041668662982,0.00436633732008973,0.00521860423601823,0.00929890273716823,0.000317770862758587,0.000566228096988769,13.1434943365289,13.8243179423605,11.6347022260001,12.2373714796603,24.7781965625291,26.0616894220208,1.50879211052884,1.58694646270029,0.0608919259608474
