"iso3c","year","mil.expenditure.per.capita.cow.un.ln","mil.expenditure.perc.gdp.cow.pwt.ln","mil.expenditure.per.personnel.cow.cow.ln","mil.personnel.per.capita.cow.un.ln","gdp.per.mil.personnel.pwt.cow.ln","mil.cap","mil.cap.sq"
"PRY",2000,3.2235790599513,-0.826240220505978,8.80387476353443,-5.58029570358314,14.2352851700285,-1.26866844792588,1.60951963076266
"PRY",2001,3.01460248631894,-1.03609177309041,8.66561319653451,-5.65101071021556,14.306875155613,-1.51945860495933,2.30875445218496
"PRY",2002,2.57609938584692,-1.59591646019268,8.24579880415319,-5.66969941830628,14.446885450334,-2.09409671835394,4.38524106582073
"PRY",2003,2.39646772080719,-1.80003713584985,8.08397817035517,-5.68751044954799,14.4891854921931,-2.31822032761996,5.3741454873904
"PRY",2004,2.51018062791977,-1.70912337704315,8.45105338891169,-5.94087276099192,14.7653469519429,-2.21079590029214,4.88761851274856
"PRY",2005,2.57347467096776,-1.651111988552,8.93564033374757,-6.36216566277981,15.1919225082877,-2.16483961772137,4.68653057045602
"PRY",2006,2.66373750447203,-1.59272929040517,9.04097452634244,-6.37723702187041,15.2388740027357,-2.0745691438136,4.30383713246349
"PRY",2007,3.02610766927986,-1.26914684303926,9.41735454136051,-6.39124687208065,15.2916715703879,-1.66717516510148,2.77947303113114
"PRY",2008,3.24024339010496,-1.10317666562715,9.5496656775798,-6.30942228747484,15.258012529195,-1.43278026959659,2.05285930094527
"PRY",2009,3.19736678163662,-1.0922824610773,9.52009522025868,-6.32272843862206,15.2175478673241,-1.45868760839915,2.12776953889725
"PRY",2010,3.3955993478805,-1.00379775378386,9.73162025000965,-6.33602090212915,15.3405881897816,-1.27797436410506,1.63321847530972
"PRY",2011,3.74246991732989,-0.685998905392105,10.0919267221559,-6.34945680482598,15.3830958135361,-0.884203064938125,0.781815060045974
"PRY",2012,4.06545230896367,-0.337134908027205,10.4283236604073,-6.36287135144358,15.3706287544226,-0.492603607368728,0.242658313992684
"CHL",1950,5.32505020494222,1.28205941716304,10.3918557705055,-5.06680556556331,13.7149665393306,1.24012702056761,1.53791502714189
"CHL",1951,5.42656162944841,1.38068939761971,10.5155814524657,-5.08901982301724,13.740062240834,1.3568897404646,1.84114976777808
"CHL",1952,5.66146282499038,1.5907682053315,10.7472055915734,-5.08574276658306,13.76160757223,1.62189304052205,2.63053703489385
