"","iso3c","WEOG","Central America","Carribean","South America","Eastern Europe","Middle East","North Africa","East Africa","West Africa","Central Africa","Southern Africa","Central Asia","South Asia","East Asia","Southeast Asia"
"26","BOL",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"27","BRA",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"28","BRB",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"29","BRD",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"31","BTN",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"32","BWA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"33","CAF",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"34","CAN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","CHE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","CHL",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"37","CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"38","CIV",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"39","CMR",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"40","COD",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"41","COG",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"42","COL",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"43","COM",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"44","CPV",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"45","CRI",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","CUB",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"47","CYP",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"48","CZE",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"49","DDR",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"50","DEU",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","DJI",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"52","DMA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"53","DNK",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","DOM",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"55","DZA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"56","ECU",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"57","EGY",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"58","ERI",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"59","ESH",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"60","ESP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","EST",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"62","ETH",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"63","FIN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","FJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"65","FRA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
