"iso3c","year","shec"
"BDI",1989,38.99
"BDI",1990,38.63
"BDI",1991,38.19
"BDI",1992,37.73
"BDI",1993,37.22
"BDI",1994,37.04
"BDI",1995,37.72
"BDI",1996,37.94
"BDI",1997,38.34
"BDI",1998,38.72
"BDI",1999,39.2
"BDI",2000,39.54
"BDI",2001,39.88
"BDI",2002,40.35
"BDI",2003,40.42
"BDI",2004,40.5
"BDI",2005,40.41
"BDI",2006,39.95
"BDI",2007,39.6
"BDI",2008,39.41
"BLR",1994,53.79
"BLR",1995,52.45
"BLR",1996,51.91
"BLR",1997,51.32
"BLR",1998,50.52
"BLR",1999,49.89
"BLR",2000,49.56
"BLR",2001,49.23
"BLR",2002,48.87
"BLR",2003,48.34
"BLR",2004,47.46
"BLR",2005,46.33
"BLR",2006,44.94
"BLR",2007,43.3
"BLR",2008,41.67
"KHM",1970,55.93
"KHM",1971,55.9
"KHM",1972,56.04
"KHM",1973,56.29
"KHM",1974,56.77
"KHM",1975,57.03
"KHM",1976,57.08
"KHM",1977,57.13
"KHM",1978,57.34
"KHM",1979,57.8
"KHM",1980,58.66
"KHM",1981,59.53
"KHM",1982,60.39
"KHM",1983,61.22
"KHM",1984,61.85
"KHM",1985,62.42
"KHM",1986,63.06
"KHM",1987,63.74
"KHM",1988,63.38
"KHM",1989,63.42
"KHM",1990,64.04
"KHM",1991,64.47
"KHM",1992,64.37
"KHM",1993,64.34
"KHM",1994,63.35
"KHM",1995,62.56
"KHM",1996,60.88
"KHM",1997,59.52
"KHM",1998,58.15
"KHM",1999,57.75
"KHM",2000,56.19
"KHM",2001,54.86
"KHM",2002,53.15
"KHM",2003,51.85
"KHM",2004,50.34
"KHM",2005,49.23
"KHM",2006,47.75
"KHM",2007,46
"KHM",2008,44.36
"CMR",1960,42.45
"CMR",1961,42.8
"CMR",1962,43.1
"CMR",1963,43.35
"CMR",1964,43.55
"CMR",1965,43.57
"CMR",1966,43.25
"CMR",1967,42.67
"CMR",1968,42.41
"CMR",1969,42.13
"CMR",1970,41.97
"CMR",1971,41.46
"CMR",1972,40.63
"CMR",1973,39.85
"CMR",1974,39.13
"CMR",1975,38.73
"CMR",1976,38.06
"CMR",1977,37.78
"CMR",1978,36.95
"CMR",1979,35.62
"CMR",1980,34.64
"CMR",1981,34.11
"CMR",1982,33.15
"CMR",1983,32.35
"CMR",1984,31.6
"CMR",1985,30.96
"CMR",1986,30.28
"CMR",1987,29.71
"CMR",1988,29.41
"CMR",1989,29.38
"CMR",1990,29.47
"CMR",1991,29.63
"CMR",1992,29.93
"CMR",1993,30.38
"CMR",1994,30.59
"CMR",1995,30.84
"CMR",1996,31.12
"CMR",1997,31.44
"CMR",1998,31.67
"CMR",1999,31.85
"CMR",2000,31.98
"CMR",2001,32.01
"CMR",2002,31.88
"CMR",2003,31.81
"CMR",2004,31.72
"CMR",2005,31.61
"CMR",2006,31.51
"CMR",2007,31.4
"CMR",2008,31.29
"CAN",1950,24.24
"CAN",1951,24.01
"CAN",1952,23.82
"CAN",1953,23.67
"CAN",1954,23.49
"CAN",1955,23.47
"CAN",1956,23.33
"CAN",1957,23.06
"CAN",1958,22.8
"CAN",1959,22.66
"CAN",1960,22.53
"CAN",1961,22.38
"CAN",1962,22.28
"CAN",1963,22.16
"CAN",1964,22.05
"CAN",1965,21.91
"CAN",1966,21.74
"CAN",1967,21.46
"CAN",1968,21.27
"CAN",1969,21.12
"CAN",1970,20.87
"CAN",1971,20.7
"CAN",1972,20.56
"CAN",1973,20.46
"CAN",1974,20.27
"CAN",1975,20.02
"CAN",1976,19.91
"CAN",1977,19.69
"CAN",1978,19.54
"CAN",1979,19.42
"CAN",1980,19.21
"CAN",1981,19.07
"CAN",1982,18.8
"CAN",1983,18.78
"CAN",1984,18.73
"CAN",1985,18.61
"CAN",1986,18.47
"CAN",1987,18.33
"CAN",1988,18.14
"CAN",1989,17.93
"CAN",1990,17.66
"CAN",1991,17.46
"CAN",1992,17.34
"CAN",1993,17.28
"CAN",1994,17.24
"CAN",1995,17.14
"CAN",1996,17.03
"CAN",1997,16.97
"CAN",1998,16.8
"CAN",1999,16.68
"CAN",2000,16.52
"CAN",2001,16.32
"CAN",2002,16.23
"CAN",2003,16.12
"CAN",2004,15.94
"CAN",2005,15.74
"CAN",2006,15.52
"CAN",2007,15.3
"CAN",2008,15.08
"CAN",2009,14.85
"CPV",1976,42.51
"CPV",1977,42.03
"CPV",1978,41.54
"CPV",1979,41.27
"CPV",1980,41.14
"CPV",1981,41.17
"CPV",1982,41.06
"CPV",1983,40.62
"CPV",1984,40.25
"CPV",1985,39.99
"CPV",1986,39.73
"CPV",1987,39.43
"CPV",1988,38.95
"CPV",1989,38.93
"CPV",1990,38.77
"CPV",1991,38.16
"CPV",1992,38.18
"CPV",1993,37.98
"CPV",1994,38.08
"CPV",1995,37.31
"CPV",1996,37.21
"CPV",1997,36.71
"CPV",1998,36.41
"CPV",1999,36.33
"CPV",2000,35.66
"CPV",2001,35.62
"CPV",2002,35.45
"CPV",2003,34.92
"CPV",2004,34.76
"CPV",2005,34.15
"CPV",2006,33.79
"CPV",2007,33.4
"CPV",2008,32.35
"CAF",1961,40.7
"CAF",1962,40.1
"CAF",1963,39.76
"CAF",1964,39.16
"CAF",1965,38.92
"CAF",1966,38.74
"CAF",1967,38.94
"CAF",1968,38.54
"CAF",1969,38.54
"CAF",1970,38.37
"CAF",1971,38.27
"CAF",1972,38.07
"CAF",1973,37.81
"CAF",1974,38.08
"CAF",1975,38.48
"CAF",1976,39.02
"CAF",1977,39.49
"CAF",1978,39.72
"CAF",1979,40.01
"CAF",1980,40.53
"CAF",1981,41.29
"CAF",1982,42.11
"CAF",1983,42.45
"CAF",1984,42.4
"CAF",1985,42.19
"CAF",1986,41.92
"CAF",1987,41.61
"CAF",1988,41.47
"CAF",1989,41.43
"CAF",1990,41.38
"CAF",1991,41.34
"CAF",1992,41.46
"CAF",1993,41.75
"CAF",1994,41.88
"CAF",1995,41.95
"CAF",1996,42.06
"CAF",1997,42.64
"CAF",1998,43.05
"CAF",1999,42.98
"CAF",2000,43
"CAF",2001,43.25
"CAF",2002,43.45
"CAF",2003,43.85
"CAF",2004,44.46
"CAF",2005,44.96
"CAF",2006,45.27
"CAF",2007,45.1
"CAF",2008,45.03
"LKA",1950,71.82
"LKA",1951,71.38
"LKA",1952,70.53
"LKA",1953,69.7
"LKA",1954,69.36
"LKA",1955,68.97
"LKA",1956,67.61
"LKA",1957,67.14
"LKA",1958,66.66
"LKA",1959,66.17
"LKA",1960,65.64
"LKA",1961,65.33
"LKA",1962,65.65
"LKA",1963,64.26
"LKA",1964,63.57
"LKA",1965,63.08
"LKA",1966,62.96
"LKA",1967,62.61
"LKA",1968,62.16
"LKA",1969,61.51
"LKA",1970,60.4
"LKA",1971,59.13
"LKA",1972,58.41
"LKA",1973,57.64
"LKA",1974,57.78
"LKA",1975,57.28
"LKA",1976,56.71
"LKA",1977,55.71
"LKA",1978,55.19
"LKA",1979,53.63
"LKA",1980,53.03
"LKA",1981,52.25
"LKA",1982,51.44
"LKA",1983,50.78
"LKA",1984,50.16
"LKA",1985,49.67
"LKA",1986,49.2
"LKA",1987,49.01
"LKA",1988,48.77
"LKA",1989,48.71
"LKA",1990,48.7
"LKA",1991,48.58
"LKA",1992,48.41
"LKA",1993,48.29
"LKA",1994,47.95
"LKA",1995,47.37
"LKA",1996,47.13
"LKA",1997,46.82
