"iso3c","year","lo","bq","cr"
"HTI",1988,1,0,1
"HUN",1988,5,3,4
"IDN",1988,2,0,0
"IND",1988,2,3,3
"IRL",1988,4,3.5,5
"IRN",1988,1,1,3
"IRQ",1988,2,1,3
"ISL",1988,6,4,6
"ISR",1988,1.91666666666667,3,5
"ITA",1988,5,3,4
"JAM",1988,2,2,2
"JOR",1988,2,2,3
"JPN",1988,5,4,5
"KEN",1988,4,3,3
"KHM",1988,NA,NA,NA
"KNA",1988,NA,NA,NA
"KOR",1988,2,3,2
"KWT",1988,3,2,3
"LAO",1988,NA,NA,NA
"LBN",1988,1,1,3
"LBR",1988,2,0,0.916666666666667
"LBY",1988,2,1,3
"LCA",1988,NA,NA,NA
"LIE",1988,NA,NA,NA
"LKA",1988,0.833333333333333,2,3
"LSO",1988,NA,NA,NA
"LUX",1988,6,4,6
"MAR",1988,2,2,3
"MCO",1988,NA,NA,NA
"MDG",1988,4,2,4
"MDV",1988,NA,NA,NA
"MEX",1988,3,2,3
"MLI",1988,2,0,1
"MLT",1988,2,2,3
"MMR",1988,2,0,2
"MNG",1988,1,1,4
"MOZ",1988,3,2,4
"MRT",1988,NA,NA,NA
"MUS",1988,NA,NA,NA
"MWI",1988,2,1,4
"MYS",1988,4,2,4
"NCL",1988,2,3,2
"NER",1988,4,3,4
"NGA",1988,1,1.16666666666667,2
"NIC",1988,2,1,5
"NLD",1988,6,4,6
"NOR",1988,6,3.5,6
"NPL",1988,NA,NA,NA
"NZL",1988,6,4,6
"OMN",1988,3.91666666666667,2,3
"PAK",1988,2,2,2
"PAN",1988,2,0,2
"PER",1988,1,1,3
"PHL",1988,1,0,2
"PNG",1988,4,3,3
"POL",1988,4,1,4
"PRK",1988,2,2,5
"PRT",1988,5,2,5
"PRY",1988,2,0,0
"QAT",1988,3,1,2
"ROU",1988,2,0,2
"RWA",1988,NA,NA,NA
"SAU",1988,4,3,2
"SDN",1988,2,0,2
"SEN",1988,2,2,3
"SGP",1988,5,3.5,5
"SLB",1988,NA,NA,NA
"SLE",1988,3,2,2
"SLV",1988,1,0,2
"SMR",1988,NA,NA,NA
"SOM",1988,3,1,4
"SOV",1988,2.5,2.5,4
"STP",1988,NA,NA,NA
"SUR",1988,1,1,2
"SWE",1988,6,4,6
"SWZ",1988,NA,NA,NA
"SYC",1988,NA,NA,NA
"SYR",1988,2,1,2
"TCD",1988,NA,NA,NA
"TGO",1988,2,1,2
"THA",1988,3.75,3.375,3
"TTO",1988,4,2,3
"TUN",1988,2.16666666666667,2,3
"TUR",1988,3,2,3
"TWN",1988,5,3,4
"TZA",1988,3,0,3
"UGA",1988,1,0,3
"URY",1988,3,1,3
"USA",1988,6,4,5
"VCT",1988,NA,NA,NA
"VEN",1988,4,2,3
"VNM",1988,3,1,3
"VUT",1988,NA,NA,NA
"WSM",1988,NA,NA,NA
"YAR",1988,NA,NA,NA
"YPR",1988,NA,NA,NA
"YUG",1988,2,1,3
"ZAF",1988,2,4,5
"ZMB",1988,2,1,2
"ZWE",1988,2,2.25,3
"AFG",1989,NA,NA,NA
"AGO",1989,2,2,3
"ALB",1989,4,1,4
"AND",1989,NA,NA,NA
"ARE",1989,3,2,3
"ARG",1989,3,2,4
"ATG",1989,NA,NA,NA
"AUS",1989,6,4,5
"AUT",1989,6,4,5
"BDI",1989,NA,NA,NA
"BEL",1989,6,4,5
"BEN",1989,NA,NA,NA
"BFA",1989,3,2,4
"BGD",1989,1,0,0
"BGR",1989,5,2,3
"BHR",1989,4,3,3
"BHS",1989,4,3,0
"BLZ",1989,NA,NA,NA
"BOL",1989,1,0,2
"BRA",1989,4,3,4
"BRB",1989,NA,NA,NA
"BRD",1989,6,4,5
"BRN",1989,4,3.5,5
"BTN",1989,NA,NA,NA
"BWA",1989,5,3,4.41666666666667
"CAF",1989,NA,NA,NA
"CAN",1989,6,4,6
"CHE",1989,6,4,6
"CHL",1989,4,2,3
"CHN",1989,3,2,4
"CIV",1989,4,3,3
"CMR",1989,3,3,2
"COD",1989,1,1,0
"COG",1989,2,1,3
"COL",1989,1,3,3
"COM",1989,NA,NA,NA
"CPV",1989,NA,NA,NA
"CRI",1989,4,2,5
"CUB",1989,5,2,3
"CYP",1989,3,3,3
"CZE",1989,5,2,4
"DDR",1989,5,2,5
"DJI",1989,NA,NA,NA
"DMA",1989,NA,NA,NA
"DNK",1989,6,4,6
"DOM",1989,3,2,3
"DZA",1989,2,3,4
"ECU",1989,4,2,3
"EGY",1989,2,2,2
"ESP",1989,4,3,4
"ETH",1989,2.91666666666667,0,3
"FIN",1989,6,4,6
"FJI",1989,NA,NA,NA
"FRA",1989,5,4,5
"GAB",1989,2,3,2
"GBR",1989,4.33333333333333,4,5
"GHA",1989,2.75,2,3.91666666666667
"GIN",1989,3,1,3
"GMB",1989,3,1,3
"GNB",1989,1,1,2
