"iso3c","year","oil","exporter"
"BFA",2001,0,0
"BFA",2002,0,0
"BFA",2003,0,0
"BFA",2004,0,0
"BFA",2005,0,0
"BFA",2006,0,0
"BFA",2007,0,0
"BFA",2008,0,0
"BFA",2009,0,0
"BFA",2010,0,0
"BFA",2011,0,0
"BFA",2012,0,0
"BFA",2013,0,0
"BFA",2014,0,0
"BFA",2015,0,0
"BFA",2016,0,0
"BGD",1980,0,0
"BGD",1981,0,0
"BGD",1982,0,0
"BGD",1983,0,0
"BGD",1984,0,0
"BGD",1985,0,0
"BGD",1986,0,0
"BGD",1987,0,0
"BGD",1988,0,0
"BGD",1989,0,0
"BGD",1990,0,0
"BGD",1991,0,0
"BGD",1992,0,0
"BGD",1993,0,0
"BGD",1994,0,0
"BGD",1995,0,0
"BGD",1996,0,0
"BGD",1997,0,0
"BGD",1998,0,0
"BGD",1999,0,0
"BGD",2000,0,0
"BGD",2001,0,0
"BGD",2002,0,0
"BGD",2003,0,0
"BGD",2004,0,0
"BGD",2005,0,0
"BGD",2006,0,0
"BGD",2007,0,0
"BGD",2008,0,0
"BGD",2009,0,0
"BGD",2010,0,0
"BGD",2011,0,0
"BGD",2012,0,0
"BGD",2013,0,0
"BGD",2014,0,0
"BGD",2015,0,0
"BGD",2016,0,0
"BGR",1980,0,0
"BGR",1981,0,0
"BGR",1982,0,0
"BGR",1983,0,0
"BGR",1984,0,0
"BGR",1985,0,0
"BGR",1986,0,0
"BGR",1987,0,0
"BGR",1988,0,0
"BGR",1989,0,0
"BGR",1990,0,0
"BGR",1991,0,0
"BGR",1992,0,0
"BGR",1993,0,0
"BGR",1994,0,0
"BGR",1995,0,0
"BGR",1996,0,0
"BGR",1997,0,0
"BGR",1998,0,0
"BGR",1999,0,0
"BGR",2000,0,0
"BGR",2001,0,0
"BGR",2002,0,0
"BGR",2003,0,0
"BGR",2004,0,0
"BGR",2005,0,0
"BGR",2006,0,0
"BGR",2007,0,0
"BGR",2008,0,0
"BGR",2009,0,0
"BGR",2010,0,0
"BGR",2011,0,0
"BGR",2012,0,0
"BGR",2013,0,0
"BGR",2014,0,0
"BGR",2015,0,0
"BGR",2016,0,0
"BHR",1980,0,0
"BHR",1981,0,0
"BHR",1982,0,0
"BHR",1983,0,0
"BHR",1984,0,0
"BHR",1985,0,0
"BHR",1986,0,0
"BHR",1987,0,0
"BHR",1988,0,0
"BHR",1989,0,0
"BHR",1990,0.826,0
"BHR",1991,0.203,0
"BHR",1992,0.583,0
"BHR",1993,0.962,0
"BHR",1994,0.979,0
"BHR",1995,0.997,0
"BHR",1996,0.505,0
"BHR",1997,0.014,0
"BHR",1998,2.229,0
"BHR",1999,1.753,0
"BHR",2000,1.406,0
"BHR",2001,1.469,0
"BHR",2002,0.682,0
"BHR",2003,1.636,0
"BHR",2004,150.405,0
"BHR",2005,150.536,0
"BHR",2006,148.468,0
"BHR",2007,147.986,0
"BHR",2008,149.043,0
"BHR",2009,152.203,0
"BHR",2010,151.098,0
"BHR",2011,150.114,0
"BHR",2012,133.162,0
"BHR",2013,142.985,0
"BHR",2014,154.492,0
"BHR",2015,149.673,0
"BHR",2016,154.691,0
"BHS",1980,0,0
"BHS",1981,0,0
"BHS",1982,0,0
"BHS",1983,0,0
"BHS",1984,0,0
"BHS",1985,0,0
"BHS",1986,0,0
"BHS",1987,0,0
"BHS",1988,0,0
"BHS",1989,0,0
"BHS",1990,0,0
"BHS",1991,0,0
"BHS",1992,0,0
"BHS",1993,0,0
"BHS",1994,0.083,0
"BHS",1995,2.552,0
"BHS",1996,3.567,0
"BHS",1997,1.799,0
"BHS",1998,1.178,0
"BHS",1999,1.802,0
"BHS",2000,0.982,0
"BHS",2001,0.316,0
"BHS",2002,2.604,0
"BHS",2003,4.893,0
"BHS",2004,0.796,0
"BHS",2005,0,0
"BHS",2006,0,0
"BHS",2007,0,0
"BHS",2008,1.521,0
"BHS",2009,0,0
"BHS",2010,0.039,0
"BHS",2011,2.533,0
"BHS",2012,5.026,0
"BHS",2013,4.441,0
"BHS",2014,5.947,0
"BHS",2015,3.658,0
"BHS",2016,7.755,0
"BIH",1980,0,0
"BIH",1981,0,0
"BIH",1982,0,0
"BIH",1983,0,0
"BIH",1984,0,0
"BIH",1985,0,0
"BIH",1986,0,0
"BIH",1987,0,0
"BIH",1988,0,0
"BIH",1989,0,0
"BIH",1990,0,0
"BIH",1991,0,0
"BIH",1992,0,0
"BIH",1993,0,0
"BIH",1994,0,0
"BIH",1995,0,0
"BIH",1996,0,0
"BIH",1997,0,0
"BIH",1998,0,0
"BIH",1999,0,0
"BIH",2000,0,0
"BIH",2001,0,0
"BIH",2002,0,0
"BIH",2003,0,0
"BIH",2004,0,0
"BIH",2005,0,0
"BIH",2006,0,0
"BIH",2007,0,0
"BIH",2008,0,0
"BIH",2009,0,0
"BIH",2010,0,0
"BIH",2011,0,0
"BIH",2012,0,0
"BIH",2013,0,0
"BIH",2014,0,0
"BIH",2015,0,0
"BIH",2016,0,0
