"","iso3c","year","cn"
"902","DMA",2007,1
"903","DMA",2008,1
"904","DMA",2009,1
"905","DMA",2010,1
"906","DMA",2011,1
"907","DMA",2012,1
"908","DMA",2013,1
"909","DMA",2014,1
"910","DMA",2015,1
"911","DMA",2016,1
"912","GRD",1974,1
"913","GRD",1975,1
"914","GRD",1976,1
"915","GRD",1977,1
"916","GRD",1978,1
"917","GRD",1979,1
"918","GRD",1980,1
"919","GRD",1981,1
"920","GRD",1982,1
"921","GRD",1983,1
"922","GRD",1984,1
"923","GRD",1985,1
"924","GRD",1986,1
"925","GRD",1987,1
"926","GRD",1988,1
"927","GRD",1989,1
"928","GRD",1990,1
"929","GRD",1991,1
"930","GRD",1992,1
"931","GRD",1993,1
"932","GRD",1994,1
"933","GRD",1995,1
"934","GRD",1996,1
"935","GRD",1997,1
"936","GRD",1998,1
"937","GRD",1999,1
"938","GRD",2000,1
"939","GRD",2001,1
"940","GRD",2002,1
"941","GRD",2003,1
"942","GRD",2004,1
"943","GRD",2005,1
"944","GRD",2006,1
"945","GRD",2007,1
"946","GRD",2008,1
"947","GRD",2009,1
"948","GRD",2010,1
"949","GRD",2011,1
"950","GRD",2012,1
"951","GRD",2013,1
"952","GRD",2014,1
"953","GRD",2015,1
"954","GRD",2016,1
"955","LCA",1979,1
"956","LCA",1980,1
"957","LCA",1981,1
"958","LCA",1982,1
"959","LCA",1983,1
"960","LCA",1984,1
"961","LCA",1985,1
"962","LCA",1986,1
"963","LCA",1987,1
"964","LCA",1988,1
"965","LCA",1989,1
"966","LCA",1990,1
"967","LCA",1991,1
"968","LCA",1992,1
"969","LCA",1993,1
"970","LCA",1994,1
"971","LCA",1995,1
"972","LCA",1996,1
"973","LCA",1997,1
"974","LCA",1998,1
"975","LCA",1999,1
"976","LCA",2000,1
"977","LCA",2001,1
"978","LCA",2002,1
"979","LCA",2003,1
"980","LCA",2004,1
"981","LCA",2005,1
"982","LCA",2006,1
"983","LCA",2007,1
"984","LCA",2008,1
"985","LCA",2009,1
"986","LCA",2010,1
"987","LCA",2011,1
"988","LCA",2012,1
"989","LCA",2013,1
"990","LCA",2014,1
"991","LCA",2015,1
"992","LCA",2016,1
"993","VCT",1979,1
"994","VCT",1980,1
"995","VCT",1981,1
"996","VCT",1982,1
"997","VCT",1983,1
"998","VCT",1984,1
"999","VCT",1985,1
"1000","VCT",1986,1
"1001","VCT",1987,1
"1002","VCT",1988,1
"1003","VCT",1989,1
"1004","VCT",1990,1
"1005","VCT",1991,1
"1006","VCT",1992,1
"1007","VCT",1993,1
"1008","VCT",1994,1
"1009","VCT",1995,1
"1010","VCT",1996,1
"1011","VCT",1997,1
"1012","VCT",1998,1
"1013","VCT",1999,1
"1014","VCT",2000,1
"1015","VCT",2001,1
"1016","VCT",2002,1
"1017","VCT",2003,1
"1018","VCT",2004,1
"1019","VCT",2005,1
"1020","VCT",2006,1
"1021","VCT",2007,1
"1022","VCT",2008,1
"1023","VCT",2009,1
"1024","VCT",2010,1
"1025","VCT",2011,1
"1026","VCT",2012,1
"1027","VCT",2013,1
"1028","VCT",2014,1
"1029","VCT",2015,1
"1030","VCT",2016,1
"1031","ATG",1981,1
"1032","ATG",1982,1
"1033","ATG",1983,1
"1034","ATG",1984,1
"1035","ATG",1985,1
"1036","ATG",1986,1
"1037","ATG",1987,1
"1038","ATG",1988,1
"1039","ATG",1989,1
"1040","ATG",1990,1
"1041","ATG",1991,1
"1042","ATG",1992,1
"1043","ATG",1993,1
"1044","ATG",1994,1
"1045","ATG",1995,1
"1046","ATG",1996,1
"1047","ATG",1997,1
"1048","ATG",1998,1
"1049","ATG",1999,1
"1050","ATG",2000,1
"1051","ATG",2001,1
"1052","ATG",2002,1
"1053","ATG",2003,1
"1054","ATG",2004,1
"1055","ATG",2005,1
"1056","ATG",2006,1
"1057","ATG",2007,1
"1058","ATG",2008,1
"1059","ATG",2009,1
"1060","ATG",2010,1
"1061","ATG",2011,1
"1062","ATG",2012,1
"1063","ATG",2013,1
"1064","ATG",2014,1
"1065","ATG",2015,1
"1066","ATG",2016,1
"1067","KNA",1983,1
"1068","KNA",1984,1
"1069","KNA",1985,1
"1070","KNA",1986,1
"1071","KNA",1987,1
"1072","KNA",1988,1
"1073","KNA",1989,1
"1074","KNA",1990,1
"1075","KNA",1991,1
"1076","KNA",1992,1
"1077","KNA",1993,1
"1078","KNA",1994,1
"1079","KNA",1995,1
"1080","KNA",1996,1
"1081","KNA",1997,1
"1082","KNA",1998,1
"1083","KNA",1999,1
"1084","KNA",2000,1
"1085","KNA",2001,1
"1086","KNA",2002,1
"1087","KNA",2003,1
"1088","KNA",2004,1
"1089","KNA",2005,1
"1090","KNA",2006,1
"1091","KNA",2007,1
"1092","KNA",2008,1
"1093","KNA",2009,1
"1094","KNA",2010,1
"1095","KNA",2011,1
"1096","KNA",2012,1
"1097","KNA",2013,1
"1098","KNA",2014,1
"1099","KNA",2015,1
"1100","KNA",2016,1
"1101","MEX",1831,1
"1102","MEX",1832,1
"1103","MEX",1833,1
"1104","MEX",1834,1
"1105","MEX",1835,1
"1106","MEX",1836,1
"1107","MEX",1837,1
"1108","MEX",1838,1
"1109","MEX",1839,1
